,Database,Gene ID,Record Name,Amino Acids,Keywords,SimChrom
O14593,Gene Ontology,RFXK_HUMAN,DNA-binding protein RFXANK,260,3D-structure; Activator; Alternative splicing; ANK repeat; Cytoplasm;Direct protein sequencing; Disease variant; DNA-binding; Nucleus;Reference proteome; Repeat; SCID; Transcription; Transcription regulation.,Regulation of transcription;DNA-binding transcription factors
Q9UJV9,BioGRID,DDX41_HUMAN,Probable ATP-dependent RNA helicase DDX41,622,3D-structure; ATP-binding; Disease variant; Helicase; Hydrolase;Isopeptide bond; Metal-binding; mRNA processing; mRNA splicing;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;RNA-binding; Spliceosome; Ubl conjugation; Zinc; Zinc-finger.,RNA processing
Q8IWZ3,BioGRID,ANKH1_HUMAN,Ankyrin repeat and KH domain-containing protein 1,2542,Acetylation; Alternative splicing; ANK repeat; Coiled coil; Cytoplasm;Phosphoprotein; Reference proteome; Repeat; RNA-binding.,
P50991,BioGRID,TCPD_HUMAN,T-complex protein 1 subunit delta,539,3D-structure; Acetylation; Alternative splicing; ATP-binding;Cell projection; Chaperone; Cytoplasm; Cytoskeleton;Direct protein sequencing; Methylation; Nucleotide-binding; Phosphoprotein;Reference proteome.,
Q9Y4E5,Gene Ontology,ZN451_HUMAN,E3 SUMO-protein ligase ZNF451 {ECO:0000303|PubMed:26524494},1061,3D-structure; Alternative splicing; Isopeptide bond; Metal-binding;Methylation; Nucleus; Phosphoprotein; Reference proteome; Repeat;Transcription; Transcription regulation; Transferase; Ubl conjugation;Ubl conjugation pathway; Zinc; Zinc-finger.,DNA-binding transcription factors
Q9BQA1,Gene Ontology,MEP50_HUMAN,Methylosome protein WDR77 {ECO:0000305},342,3D-structure; Alternative splicing; Cytoplasm; Direct protein sequencing;Nucleus; Phosphoprotein; Reference proteome; Repeat; WD repeat.,Methylated DNA binding
Q9Y2Q9,BioGRID,RT28_HUMAN,Small ribosomal subunit protein bS1m {ECO:0000303|PubMed:25838379},187,3D-structure; Acetylation; Disease variant; Mitochondrion; Phosphoprotein;Primary mitochondrial disease; Reference proteome; Ribonucleoprotein;Ribosomal protein; Transit peptide.,
P40937,Gene Ontology,RFC5_HUMAN,Replication factor C subunit 5,340,3D-structure; Acetylation; Alternative splicing; ATP-binding;DNA replication; Nucleotide-binding; Nucleus; Reference proteome.,DNA replication;DNA-modifying enzymes
P17275,STRING,JUNB_HUMAN,Transcription factor JunB {ECO:0000305},347,Acetylation; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation;Ubl conjugation.,Regulation of transcription;DNA-binding transcription factors
Q9H0W7,Gene Ontology,THAP2_HUMAN,THAP domain-containing protein 2,228,3D-structure; DNA-binding; Metal-binding; Reference proteome; Zinc;Zinc-finger.,
Q8N1G0,BioGRID,ZN687_HUMAN,Zinc finger protein 687,1237,Alternative splicing; Cytoplasm; DNA-binding; Isopeptide bond;Metal-binding; Methylation; Nucleus; Phosphoprotein; Reference proteome;Repeat; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,
P12111,BioGRID,CO6A3_HUMAN,Collagen alpha-3(VI) chain,3177,3D-structure; Alternative splicing; Cell adhesion; Collagen;Congenital muscular dystrophy; Direct protein sequencing; Disease variant;Disulfide bond; Dystonia; Extracellular matrix; Glycoprotein;Hydroxylation; Limb-girdle muscular dystrophy; Phosphoprotein;Protease inhibitor; Reference proteome; Repeat; Secreted;Serine protease inhibitor; Signal.,
Q13485,Gene Ontology,SMAD4_HUMAN,Mothers against decapentaplegic homolog 4,552,3D-structure; Acetylation; Cytoplasm; Disease variant; DNA-binding;Isopeptide bond; Metal-binding; Nucleus; Phosphoprotein;Reference proteome; Transcription; Transcription regulation;Ubl conjugation; Zinc.,Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q9NTK5,BioGRID,OLA1_HUMAN,Obg-like ATPase 1 {ECO:0000255|HAMAP-Rule:MF_03167},396,3D-structure; Acetylation; Alternative splicing; ATP-binding; Cytoplasm;Hydrolase; Magnesium; Metal-binding; Nucleotide-binding; Nucleus;Reference proteome.,
Q9BXA9,Gene Ontology,SALL3_HUMAN,Sal-like protein 3,1300,3D-structure; Alternative splicing; DNA-binding; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Transcription;Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
O75127,BioGRID,PTCD1_HUMAN,"Pentatricopeptide repeat-containing protein 1, mitochondrial",700,Mitochondrion; Reference proteome; Repeat; tRNA processing.,
Q86U70,Gene Ontology,LDB1_HUMAN,LIM domain-binding protein 1,411,3D-structure; Acetylation; Alternative splicing; Developmental protein;Nucleus; Phosphoprotein; Reference proteome; Ubl conjugation.,Regulation of transcription;DNA-templated transcription
Q9GZR7,BioGRID,DDX24_HUMAN,ATP-dependent RNA helicase DDX24,859,Acetylation; Alternative splicing; ATP-binding; Helicase; Hydrolase;Isopeptide bond; Nucleotide-binding; Phosphoprotein; Reference proteome;RNA-binding; Ubl conjugation.,
Q01518,BioGRID,CAP1_HUMAN,Adenylyl cyclase-associated protein 1,475,3D-structure; Acetylation; Actin-binding; Alternative splicing;Cell membrane; Direct protein sequencing; Isopeptide bond; Membrane;Methylation; Phosphoprotein; Reference proteome; Ubl conjugation.,
P78337,BioGRID,PITX1_HUMAN,Pituitary homeobox 1,314,Acetylation; Activator; Developmental protein; Disease variant;DNA-binding; Homeobox; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation.,DNA-binding transcription factors
Q9UJX3,BioGRID,APC7_HUMAN,Anaphase-promoting complex subunit 7 {ECO:0000305},565,3D-structure; Acetylation; Alternative splicing; Cell cycle; Cell division;Cytoplasm; Cytoskeleton; Intellectual disability; Mitosis; Nucleus;Reference proteome; Repeat; TPR repeat; Ubl conjugation pathway.,Heterochromatin-associated
Q06455,Gene Ontology,MTG8_HUMAN,Protein CBFA2T1,604,3D-structure; Alternative splicing; Chromosomal rearrangement; DNA-binding;Metal-binding; Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome;Repressor; Transcription; Transcription regulation; Zinc; Zinc-finger.,
Q7Z3K3,Gene Ontology,POGZ_HUMAN,Pogo transposable element with ZNF domain,1410,3D-structure; Alternative splicing; Autism spectrum disorder; Cell cycle;Cell division; Chromosome; Coiled coil; Cytoplasm; Disease variant;DNA damage; DNA recombination; DNA repair; DNA-binding;Intellectual disability; Isopeptide bond; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; Ubl conjugation; Zinc;Zinc-finger.,DNA repair
Q5EB52,BioGRID,MEST_HUMAN,Mesoderm-specific transcript homolog protein,335,Alternative splicing; Endoplasmic reticulum; Glycoprotein; Hydrolase;Membrane; Reference proteome; Transmembrane; Transmembrane helix.,
P18850,BioGRID,ATF6A_HUMAN,Processed cyclic AMP-dependent transcription factor ATF-6 alpha,670,Activator; Disease variant; DNA-binding; Endoplasmic reticulum;Glycoprotein; Golgi apparatus; Isopeptide bond; Membrane; Nucleus;Reference proteome; Signal-anchor; Transcription; Transcription regulation;Transmembrane; Transmembrane helix; Ubl conjugation;Unfolded protein response.,Regulation of transcription;DNA-binding transcription factors
P16152,BioGRID,CBR1_HUMAN,Carbonyl reductase [NADPH] 1 {ECO:0000305},277,3D-structure; Acetylation; Alternative splicing; Cytoplasm;Direct protein sequencing; Lipid metabolism; NADP; Oxidoreductase;Phosphoprotein; Reference proteome.,
Q9NQZ8,BioGRID,ZNF71_HUMAN,Endothelial zinc finger protein induced by tumor necrosis factor alpha,489,DNA-binding; Metal-binding; Nucleus; Reference proteome; Repeat;Transcription; Transcription regulation; Zinc; Zinc-finger.,DNA-binding transcription factors
P61956,BioGRID,SUMO2_HUMAN,Small ubiquitin-related modifier 2 {ECO:0000305},95,3D-structure; Acetylation; Alternative splicing; Host-virus interaction;Isopeptide bond; Nucleus; Reference proteome; Ubl conjugation;Ubl conjugation pathway.,
Q9Y3D9,BioGRID,RT23_HUMAN,Small ribosomal subunit protein mS23,190,3D-structure; Acetylation; Disease variant; Mitochondrion;Primary mitochondrial disease; Reference proteome; Ribonucleoprotein;Ribosomal protein.,
P19388,Gene Ontology,RPAB1_HUMAN,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",210,3D-structure; Acetylation; Direct protein sequencing;DNA-directed RNA polymerase; Host-virus interaction; Isopeptide bond;Nucleus; Reference proteome; Transcription; Ubl conjugation.,RNA polymerases;DNA-templated transcription
P35250,Gene Ontology,RFC2_HUMAN,Replication factor C subunit 2,354,3D-structure; Acetylation; Alternative splicing; ATP-binding;Direct protein sequencing; DNA replication; Nucleotide-binding; Nucleus;Phosphoprotein; Reference proteome; Williams-Beuren syndrome.,DNA replication;DNA-modifying enzymes
P22314,BioGRID,UBA1_HUMAN,Ubiquitin-like modifier-activating enzyme 1,1058,3D-structure; Acetylation; Alternative initiation; ATP-binding; Cytoplasm;Direct protein sequencing; Disease variant; Ligase; Mitochondrion;Neurodegeneration; Nucleotide-binding; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ubl conjugation; Ubl conjugation pathway.,Heterochromatin-associated
P01031,BioGRID,CO5_HUMAN,Complement C5 alpha' chain,1676,3D-structure; Cleavage on pair of basic residues;Complement alternate pathway; Complement pathway; Cytolysis;Direct protein sequencing; Disulfide bond; Glycoprotein; Immunity;Inflammatory response; Innate immunity; Membrane attack complex;Reference proteome; Secreted; Signal.,
Q8WWK9,BioGRID,CKAP2_HUMAN,Cytoskeleton-associated protein 2,683,Alternative splicing; Apoptosis; Cell cycle; Cytoplasm; Cytoskeleton;Microtubule; Phosphoprotein; Reference proteome.,
P15336,Gene Ontology,ATF2_HUMAN,Cyclic AMP-dependent transcription factor ATF-2,505,3D-structure; Acetylation; Activator; Alternative splicing; Cytoplasm;DNA damage; DNA-binding; Membrane; Metal-binding; Mitochondrion;Mitochondrion outer membrane; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Zinc; Zinc-finger.,Histone modification;Regulation of transcription;DNA-binding transcription factors;DNA-templated transcription
Q9Y2X9,BioGRID,ZN281_HUMAN,Zinc finger protein 281,895,Alternative splicing; Differentiation; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,DNA-binding transcription factors
P40394,BioGRID,ADH7_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH7 {ECO:0000305},386,3D-structure; Alternative splicing; Cytoplasm; Direct protein sequencing;Lipid metabolism; Metal-binding; NAD; Oxidoreductase; Reference proteome;Zinc.,
Q12778,STRING,FOXO1_HUMAN,Forkhead box protein O1 {ECO:0000305},655,3D-structure; Acetylation; Activator; Apoptosis; Autophagy;Chromosomal rearrangement; Cytoplasm; Differentiation; DNA-binding;Methylation; Nucleus; Phosphoprotein; Proto-oncogene; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
P04279,BioGRID,SEMG1_HUMAN,Seminal basic protein,462,3D-structure; Alternative splicing; Direct protein sequencing;Disulfide bond; Pyrrolidone carboxylic acid; Reference proteome; Repeat;Secreted; Signal.,
P06576,BioGRID,ATPB_HUMAN,"ATP synthase subunit beta, mitochondrial {ECO:0000305}",529,3D-structure; Acetylation; ATP synthesis; ATP-binding; CF(1);Direct protein sequencing; Disease variant; Glycoprotein;Hydrogen ion transport; Ion transport; Membrane; Mitochondrion;Mitochondrion inner membrane; Nucleotide-binding; Phosphoprotein;Reference proteome; Transit peptide; Translocase; Transport.,
P35712,BioGRID,SOX6_HUMAN,Transcription factor SOX-6 {ECO:0000305},828,Activator; Alternative splicing; Autism spectrum disorder; Coiled coil;Cytoplasm; Developmental protein; Differentiation; Disease variant;DNA-binding; Intellectual disability; Isopeptide bond; Nucleus;Phosphoprotein; Reference proteome; Repressor; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q9BRJ7,BioGRID,TIRR_HUMAN,Tudor-interacting repair regulator protein {ECO:0000303|PubMed:28241136},211,3D-structure; Alternative splicing; Isopeptide bond; Nucleus;Reference proteome; RNA-binding; Ubl conjugation.,
Q9UIG0,BioGRID,BAZ1B_HUMAN,Tyrosine-protein kinase BAZ1B,1483,3D-structure; Acetylation; Alternative splicing; ATP-binding; Bromodomain;Coiled coil; DNA damage; Isopeptide bond; Kinase; Metal-binding;Nucleotide-binding; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Transferase;Tyrosine-protein kinase; Ubl conjugation; Williams-Beuren syndrome; Zinc;Zinc-finger.,Histone modification;Histone PTM writers;Chromatin remodelers;Centromere-associated;Heterochromatin-associated
Q5D1E8,Gene Ontology,ZC12A_HUMAN,Endoribonuclease ZC3H12A {ECO:0000305},599,3D-structure; Angiogenesis; Antiviral defense; Apoptosis; Cytoplasm;Developmental protein; Differentiation; DNA damage; DNA-binding;Endonuclease; Endoplasmic reticulum; Host-virus interaction; Hydrolase;Immunity; Inflammatory response; Magnesium; Membrane; Metal-binding;Neurogenesis; Nuclease; Nucleus; Phosphoprotein; Reference proteome;Repressor; RNA-binding; Stress response; Transcription;Transcription regulation; Ubl conjugation; Zinc; Zinc-finger.,
Q15365,Gene Ontology,PCBP1_HUMAN,Poly(rC)-binding protein 1 {ECO:0000303|PubMed:7607214},356,3D-structure; Acetylation; Cytoplasm; Direct protein sequencing;DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Repeat; Ribonucleoprotein; RNA-binding; Ubl conjugation;Viral RNA replication.,DNA-binding transcription factors
Q9UHF7,BioGRID,TRPS1_HUMAN,Zinc finger transcription factor Trps1,1281,Alternative splicing; Disease variant; DNA-binding; Isopeptide bond;Metal-binding; Nucleus; Phosphoprotein; Reference proteome; Repeat;Repressor; Transcription; Transcription regulation; Ubl conjugation; Zinc;Zinc-finger.,DNA-binding transcription factors
Q8N8Q3,Gene Ontology,ENDOV_HUMAN,Endonuclease V,282,3D-structure; Alternative splicing; Cytoplasm; DNA-binding; Endonuclease;Hydrolase; Magnesium; Metal-binding; Nuclease; Nucleus; Reference proteome;RNA-binding.,DNA-modifying enzymes
P32119,BioGRID,PRDX2_HUMAN,Peroxiredoxin-2,198,3D-structure; Acetylation; Alternative splicing; Antioxidant; Cytoplasm;Direct protein sequencing; Disulfide bond; Oxidoreductase; Peroxidase;Phosphoprotein; Redox-active center; Reference proteome.,
Q8NCD3,Gene Ontology,HJURP_HUMAN,Holliday junction recognition protein,748,3D-structure; Alternative splicing; Cell cycle; Centromere; Chaperone;Chromosome; DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein;Reference proteome; Ubl conjugation.,Centromere-associated;Histone chaperones
P63244,BioGRID,RACK1_HUMAN,"Small ribosomal subunit protein RACK1, N-terminally processed",317,3D-structure; Acetylation; Apoptosis; Biological rhythms; Cell cycle;Cell membrane; Cell projection; Cytoplasm; Developmental protein;Direct protein sequencing; Gastrulation; Growth regulation;Host-virus interaction; Membrane; Nucleus; Phosphoprotein;Reference proteome; Repeat; Ribonucleoprotein; Ribosomal protein;Translation regulation; WD repeat.,
Q92985,Gene Ontology,IRF7_HUMAN,Interferon regulatory factor 7,503,3D-structure; Acetylation; Activator; Alternative splicing;Antiviral defense; Cytoplasm; Disease variant; DNA-binding;Host-virus interaction; Immunity; Innate immunity; Isopeptide bond;Nucleus; Phosphoprotein; Reference proteome; Transcription;Transcription regulation; Ubl conjugation.,DNA-binding transcription factors
Q8IWR0,Gene Ontology,Z3H7A_HUMAN,Zinc finger CCCH domain-containing protein 7A,971,3D-structure; Alternative splicing; Coiled coil; Metal-binding; Nucleus;Phosphoprotein; Reference proteome; Repeat; RNA-binding; TPR repeat; Zinc;Zinc-finger.,
O75531,Gene Ontology,BAF_HUMAN,"Barrier-to-autointegration factor, N-terminally processed {ECO:0000305}",89,3D-structure; Acetylation; Chromosome; Cytoplasm; Disease variant;DNA-binding; Host-virus interaction; Nucleus; Phosphoprotein;Reference proteome.,
P29374,Gene Ontology,ARI4A_HUMAN,AT-rich interactive domain-containing protein 4A,1257,3D-structure; Alternative splicing; Chromatin regulator; Differentiation;DNA-binding; Isopeptide bond; Nucleus; Phosphoprotein; Reference proteome;Spermatogenesis; Transcription; Transcription regulation; Ubl conjugation.,DNA-templated transcription
Q4AC94,BioGRID,C2CD3_HUMAN,C2 domain-containing protein 3,2353,Alternative splicing; Cell projection; Ciliopathy;Cilium biogenesis/degradation; Cytoplasm; Cytoskeleton; Disease variant;Intellectual disability; Phosphoprotein; Reference proteome; Repeat.,
P51449,STRING,RORG_HUMAN,Nuclear receptor ROR-gamma,518,3D-structure; Activator; Alternative promoter usage; Biological rhythms;Developmental protein; Disease variant; DNA-binding; Metal-binding;Nucleus; Receptor; Reference proteome; Transcription;Transcription regulation; Zinc; Zinc-finger.,Nuclear hormone receptors;DNA-binding transcription factors
Q8TAQ2,BioGRID,SMRC2_HUMAN,SWI/SNF complex subunit SMARCC2,1214,3D-structure; Acetylation; ADP-ribosylation; Alternative splicing;Chromatin regulator; Coiled coil; Disease variant; Intellectual disability;Isopeptide bond; Neurogenesis; Nucleus; Phosphoprotein; Reference proteome;Transcription; Transcription regulation; Ubl conjugation.,Chromatin remodelers;Centromere-associated
